word,whole_word,action,replacement,length,freq
โรงเรียน,0,replace,ร.ร.,7,6398
ร\.พ\.,0,replace,โรงพยาบาล,6,
โรงแรม,0,replace,ร.ร.,6,
รพ\.,0,replace,โรงพยาบาล,4,
รร\.,0,replace,ร.ร.,4,
and,1,replace, & ,3,
ธ\.,0,replace,ธนาคาร,3,
รพ,1,replace,โรงพยาบาล,2,
รร,1,replace,ร.ร.,2,
ํา,0,replace,ำ,2,
เเ,0,replace,แ,2,
๐,0,replace,0,1,
๑,0,replace,1,1,
๒,0,replace,2,1,
๓,0,replace,3,1,
๔,0,replace,4,1,
๕,0,replace,5,1,
๖,0,replace,6,1,
๗,0,replace,7,1,
๘,0,replace,8,1,
๙,0,replace,9,1,
’,0,replace,',1,
“,0,replace,",1,
”,0,replace,",1,
&,0,replace, & ,1,23201
international,1,remove,,13,9273
อินเตอร์เนชั่นแนล,0,remove,,13,21879
"ltd\.,part\.",1,remove,,12,16030
ห้างหุ้นส่วนจำกัด,0,remove,,12,146542
corporation,1,remove,,11,1899
partnership,1,remove,,11,130126
เอ็นเตอร์ไพรส์,0,remove,,11,47644
"co\.,ltd\.",1,remove,,10,250658
enterprise,1,remove,,10,1969
สำนักงานใหญ่,0,remove,,10,3151
ประเทศไทย,0,remove,,9,
พร็อพเพอร์ตี,0,remove,,9,5503
property,1,remove,,8,1546
thailand,1,remove,,8,
บริษัทจำกัด,0,remove,,8,244
ห้างหุ้นส่วน,0,remove,,8,146542
bangkok,1,remove,,7,
company,1,remove,,7,184293
limited,1,remove,,7,318844
กรุงเทพฯ,0,remove,,7,
ไทยแลนด์,0,remove,,7,
สำนักงาน,0,remove,,7,3151
"ltd,\.",1,remove,,6,
public,1,remove,,6,741
กรุงเทพ,0,remove,,6,
วิทยาลัย,0,remove,,6,2825
"co,\.",1,remove,,5,
"co\.,",1,remove,,5,33287
group,1,remove,,5,17615
ltd\.,1,remove,,5,
บจก\.,0,remove,,5,172
บมจ\.,0,remove,,5,
มหาชน,0,remove,,5,
หจก\.,0,remove,,5,
หุ้นส่วน,0,remove,,5,146542
co\.,1,remove,,4,
"ltd,",1,remove,,4,
จก\.,0,remove,,4,
จำกัด,0,remove,,4,146542
บจ\.,0,remove,,4,
บริษัท,0,remove,,4,244
สาขา,0,remove,,4,
สำนัก,0,remove,,4,3151
แอนด์,0,remove,,4,67454
"co,",1,remove,,3,
ltd,1,remove,,3,
the,1,remove,,3,7023
กรุ๊ป,0,remove,,3,7
บ\.,0,remove,,3,
บจก,0,remove,,3,63
บมจ,0,remove,,3,
ร้าน,0,remove,,3,
หจก,0,remove,,3,
ห้าง,0,remove,,3,146542
co,1,remove,,2,
